targetingTimeMilliseconds,targetingTimeMicroseconds,targetPosition,targetEdgesFromLeft,groundTruthPosition,estimatedPosition,estimatedEdgesFromLeft,timeSinceLastEdge,timeBetweenLastEdges,forwardsEdgesSinceLastLimit,backwardsEdgesSinceLastLimit,lastLimit,timeSinceLastLimit,edgesBetweenLimits,atLeftLimit,atRightLimit,opticalSensorDarkness,motorDirection,motorDuty
0,368,423,9,0,0,0,3307,0,0,0,-1,1002,24,1,0,0,0,255
2,2708,423,9,0,0,0,3309,0,0,0,-1,1005,24,1,0,0,0,255
6,7016,423,9,0,0,0,3313,0,0,0,-1,1009,24,1,0,0,1,255
11,11360,423,9,0,0,0,3318,0,0,0,-1,1013,24,1,0,0,1,255
15,15728,423,9,0,0,0,3322,0,0,0,-1,1017,24,1,0,0,1,255
19,20380,423,9,0,0,0,3326,0,0,0,-1,1023,24,1,0,0,1,255
25,25136,423,9,0,0,0,3332,0,0,0,-1,1027,24,1,0,0,1,255
30,29896,423,9,0,0,0,3337,0,0,0,-1,1032,24,1,0,0,1,255
34,34660,423,9,0,0,0,3341,0,0,0,-1,1037,24,1,0,0,1,255
39,39416,423,9,0,0,0,3346,0,0,0,-1,1041,24,1,0,0,1,255
44,44176,423,9,0,0,0,3351,0,0,0,-1,1046,24,1,0,0,1,255
48,48936,423,9,0,0,0,3355,0,0,0,-1,1051,24,1,0,0,1,255
53,53696,423,9,0,0,0,3360,0,0,0,-1,1055,24,1,0,0,1,255
58,58456,423,9,0,0,0,3365,0,0,0,-1,1060,24,1,0,0,1,255
62,63216,423,9,0,0,0,3369,0,0,0,-1,1066,24,1,0,0,1,255
68,67984,423,9,1,0,0,3375,0,0,0,-1,1070,24,1,0,0,1,255
73,72752,423,9,0,0,0,3380,0,0,0,-1,1075,24,1,0,0,1,255
77,77496,423,9,0,0,0,3384,0,0,0,-1,1080,24,1,0,0,1,255
82,82256,423,9,0,0,0,3389,0,0,0,-1,1084,24,1,0,0,1,255
87,87020,423,9,0,0,0,3393,0,0,0,-1,1089,24,1,0,0,1,255
91,91776,423,9,0,0,0,3398,0,0,0,-1,1094,24,1,0,0,1,255
96,96536,423,9,0,0,0,3403,0,0,0,-1,1098,24,1,0,0,1,255
100,101352,423,9,0,0,0,3407,0,0,0,-1,1103,24,1,0,0,1,255
105,106288,423,9,6,0,0,3412,0,0,0,-1,1109,24,1,0,6,1,255
111,111252,423,9,11,42,1,3,3415,1,0,-1,1114,24,0,0,11,1,255
116,116412,423,9,18,42,1,8,3415,1,0,-1,1119,24,0,0,19,1,255
121,121600,423,9,27,42,1,13,3415,1,0,-1,1124,24,0,0,25,1,255
126,126896,423,9,31,85,2,4,15,2,0,-1,1129,24,0,0,32,1,255
131,131884,423,9,40,85,2,8,15,2,0,-1,1134,24,0,0,40,1,255
136,136892,423,9,48,85,2,13,15,2,0,-1,1139,24,0,0,48,1,255
141,141992,423,9,55,85,2,18,15,2,0,-1,1144,24,0,0,55,1,255
146,147092,423,9,61,85,2,23,15,2,0,-1,1149,24,0,0,61,1,255
152,152196,423,9,68,85,2,29,15,2,0,-1,1155,24,0,0,68,1,255
157,157324,423,9,78,127,3,3,31,3,0,-1,1160,24,0,0,78,1,255
162,162392,423,9,85,127,3,8,31,3,0,-1,1165,24,0,0,85,1,255
167,167488,423,9,92,127,3,13,31,3,0,-1,1170,24,0,0,92,1,255
172,172684,423,9,102,127,3,18,31,3,0,-1,1175,24,0,0,102,1,255
177,178040,423,9,111,127,3,24,31,3,0,-1,1180,24,0,0,112,1,255
183,183420,423,9,118,127,3,29,31,3,0,-1,1185,24,0,0,119,1,255
188,188768,423,9,126,170,4,3,31,4,0,-1,1190,24,0,0,127,1,255
194,194036,423,9,134,170,4,9,31,4,0,-1,1197,24,0,0,134,1,255
199,199280,423,9,141,170,4,14,31,4,0,-1,1202,24,0,0,142,1,255
204,204672,423,9,150,170,4,20,31,4,0,-1,1207,24,0,0,149,1,255
210,210008,423,9,156,170,4,25,31,4,0,-1,1212,24,0,0,159,1,255
215,215368,423,9,164,170,4,30,31,4,0,-1,1217,24,0,0,166,1,255
220,220728,423,9,173,213,5,3,32,5,0,-1,1223,24,0,0,174,1,255
225,225972,423,9,180,213,5,8,32,5,0,-1,1228,24,0,0,180,1,255
230,231248,423,9,189,213,5,14,32,5,0,-1,1233,24,0,0,189,1,255
237,236620,423,9,197,213,5,20,32,5,0,-1,1239,24,0,0,198,1,255
242,241952,423,9,204,213,5,25,32,5,0,-1,1244,24,0,0,204,1,255
247,247308,423,9,213,213,5,30,32,5,0,-1,1250,24,0,0,212,1,255
252,252692,423,9,219,255,6,3,32,6,0,-1,1255,24,0,0,219,1,255
257,257936,423,9,226,255,6,9,32,6,0,-1,1260,24,0,0,226,1,255
263,263212,423,9,235,255,6,14,32,6,0,-1,1265,24,0,0,235,1,255
268,268564,423,9,242,255,6,19,32,6,0,-1,1270,24,0,0,243,1,255
273,273916,423,9,251,255,6,24,32,6,0,-1,1276,24,0,0,250,1,255
279,279300,423,9,258,298,7,4,26,7,0,-1,1282,24,0,0,258,1,255
284,284544,423,9,268,298,7,10,26,7,0,-1,1287,24,0,0,268,1,255
290,289916,423,9,275,298,7,15,26,7,0,-1,1292,24,0,0,276,1,255
295,295268,423,9,284,298,7,20,26,7,0,-1,1297,24,0,0,284,1,255
300,300604,423,9,293,298,7,25,26,7,0,-1,1303,24,0,0,293,1,255
305,305964,423,9,300,298,7,30,26,7,0,-1,1308,24,0,0,300,1,255
311,311340,423,9,306,341,8,4,32,8,0,-1,1313,24,0,0,306,1,255
316,316604,423,9,313,341,8,9,32,8,0,-1,1318,24,0,0,313,1,255
322,321848,423,9,322,341,8,15,32,8,0,-1,1324,24,0,0,322,1,255
327,327212,423,9,330,341,8,20,32,8,0,-1,1330,24,0,0,330,1,255
332,332564,423,9,337,341,8,25,32,8,0,-1,1335,24,0,0,337,1,255
338,337920,423,9,347,341,8,31,32,8,0,-1,1340,24,0,0,347,1,255
342,342380,423,9,354,383,9,2,33,9,0,-1,1345,24,0,0,355,0,255
1341,1341668,423,9,413,426,10,961,40,10,0,-1,2344,24,0,0,413,0,255
0,388,753,17,413,426,10,965,40,10,0,-1,2347,24,0,0,413,0,255
3,3196,753,17,413,426,10,968,40,10,0,-1,2352,24,0,0,413,0,255
10,10480,753,17,413,426,10,975,40,10,0,-1,2357,24,0,0,413,1,255
15,15996,753,17,413,426,10,980,40,10,0,-1,2363,24,0,0,413,1,255
20,21528,753,17,413,426,10,986,40,10,0,-1,2368,24,0,0,413,1,255
26,27060,753,17,415,426,10,991,40,10,0,-1,2374,24,0,0,415,1,255
31,32580,753,17,418,426,10,996,40,10,0,-1,2379,24,0,0,418,1,255
37,38124,753,17,420,426,10,1002,40,10,0,-1,2384,24,0,0,420,1,255
43,43716,753,17,424,426,10,1008,40,10,0,-1,2391,24,0,0,424,1,255
49,49348,753,17,428,426,10,1014,40,10,0,-1,2396,24,0,0,428,1,255
54,54944,753,17,433,426,10,1019,40,10,0,-1,2402,24,0,0,433,1,255
60,60568,753,17,438,426,10,1025,40,10,0,-1,2407,24,0,0,439,1,255
65,66196,753,17,443,468,11,3,1027,11,0,-1,2413,24,0,0,443,1,255
70,71692,753,17,449,468,11,9,1027,11,0,-1,2418,24,0,0,449,1,255
76,77216,753,17,454,468,11,14,1027,11,0,-1,2424,24,0,0,454,1,255
81,82820,753,17,461,468,11,20,1027,11,0,-1,2429,24,0,0,461,1,255
88,88428,753,17,468,468,11,26,1027,11,0,-1,2436,24,0,0,468,1,255
93,94040,753,17,475,468,11,31,1027,11,0,-1,2441,24,0,0,475,1,255
99,99648,753,17,482,468,11,37,1027,11,0,-1,2447,24,0,0,482,1,255
104,105336,753,17,489,511,12,4,39,12,0,-1,2452,24,0,0,490,1,255
110,110860,753,17,497,511,12,9,39,12,0,-1,2457,24,0,0,498,1,255
115,116364,753,17,505,511,12,14,39,12,0,-1,2463,24,0,0,506,1,255
121,121976,753,17,514,511,12,20,39,12,0,-1,2468,24,0,0,514,1,255
126,127600,753,17,521,511,12,26,39,12,0,-1,2475,24,0,0,521,1,255
132,133204,753,17,531,511,12,32,39,12,0,-1,2480,24,0,0,531,1,255
138,138828,753,17,540,554,13,3,34,13,0,-1,2486,24,0,0,540,1,255
143,144336,753,17,547,554,13,9,34,13,0,-1,2491,24,0,0,547,1,255
149,149860,753,17,555,554,13,14,34,13,0,-1,2496,24,0,0,555,1,255
154,155460,753,17,564,554,13,19,34,13,0,-1,2502,24,0,0,564,1,255
160,161072,753,17,573,554,13,25,34,13,0,-1,2507,24,0,0,573,1,255
165,166712,753,17,583,596,14,3,27,14,0,-1,2513,24,0,0,583,1,255
172,172224,753,17,592,596,14,10,27,14,0,-1,2519,24,0,0,593,1,255
177,177816,753,17,601,596,14,15,27,14,0,-1,2525,24,0,0,602,1,255
183,183424,753,17,610,596,14,21,27,14,0,-1,2530,24,0,0,610,1,255
188,189032,753,17,620,596,14,26,27,14,0,-1,2536,24,0,0,619,1,255
194,194680,753,17,629,639,15,4,28,15,0,-1,2541,24,0,0,630,1,255
199,200172,753,17,640,639,15,9,28,15,0,-1,2547,24,0,0,640,1,255
204,205700,753,17,649,639,15,15,28,15,0,-1,2552,24,0,0,650,1,255
210,211316,753,17,659,639,15,20,28,15,0,-1,2559,24,0,0,659,1,255
216,216916,753,17,668,639,15,27,28,15,0,-1,2564,24,0,0,668,1,255
222,222556,753,17,676,682,16,3,29,16,0,-1,2569,24,0,0,676,1,255
227,228048,753,17,688,682,16,8,29,16,0,-1,2575,24,0,0,688,1,255
233,233584,753,17,696,682,16,14,29,16,0,-1,2580,24,0,0,696,1,255
238,239196,753,17,706,682,16,19,29,16,0,-1,2586,24,0,0,706,1,255
243,243900,753,17,714,724,17,3,21,17,0,-1,2591,24,0,0,714,0,255
1241,1241380,753,17,785,767,18,965,36,18,0,-1,3589,24,0,0,785,0,255
0,400,217,5,785,767,18,968,36,18,0,-1,3591,24,0,0,785,0,255
3,3144,217,5,785,767,18,971,36,18,0,-1,3595,24,0,0,785,0,255
10,10340,217,5,785,767,18,978,36,18,0,-1,3601,24,0,0,785,-1,255
15,15860,217,5,785,767,18,983,36,18,0,-1,3607,24,0,0,785,-1,255
20,21384,217,5,785,767,18,988,36,18,0,-1,3612,24,0,0,785,-1,255
26,26908,217,5,785,767,18,994,36,18,0,-1,3617,24,0,0,785,-1,255
31,32440,217,5,785,767,18,999,36,18,0,-1,3623,24,0,0,784,-1,255
38,37964,217,5,785,767,18,1006,36,18,0,-1,3629,24,0,0,784,-1,255
43,43576,217,5,785,767,18,1011,36,18,0,-1,3635,24,0,0,785,-1,255
48,49184,217,5,785,767,18,1017,36,18,0,-1,3640,24,0,0,785,-1,255
54,54796,217,5,785,767,18,1022,36,18,0,-1,3646,24,0,0,785,-1,255
59,60408,217,5,784,767,18,1028,36,18,0,-1,3651,24,0,0,785,-1,255
65,66020,217,5,785,767,18,1033,36,18,0,-1,3657,24,0,0,785,-1,255
70,71620,217,5,785,767,18,1039,36,18,0,-1,3662,24,0,0,785,-1,255
76,77244,217,5,783,767,18,1044,36,18,0,-1,3669,24,0,0,782,-1,255
82,82848,217,5,776,767,18,1050,36,18,0,-1,3674,24,0,0,776,-1,255
88,88464,217,5,768,767,18,1056,36,18,0,-1,3680,24,0,0,770,-1,255
93,94072,217,5,766,767,18,1061,36,18,0,-1,3685,24,0,0,763,-1,255
99,99720,217,5,758,724,17,3,1064,18,1,-1,3690,24,0,0,756,-1,255
104,105280,217,5,750,724,17,8,1064,18,1,-1,3696,24,0,0,750,-1,255
110,110960,217,5,744,724,17,14,1064,18,1,-1,3702,24,0,0,743,-1,255
115,116740,217,5,736,724,17,20,1064,18,1,-1,3707,24,0,0,735,-1,255
122,122516,217,5,726,724,17,26,1064,18,1,-1,3714,24,0,0,726,-1,255
128,128300,217,5,719,724,17,32,1064,18,1,-1,3719,24,0,0,719,-1,255
133,134108,217,5,711,682,16,4,34,18,2,-1,3725,24,0,0,711,-1,255
139,139600,217,5,702,682,16,9,34,18,2,-1,3730,24,0,0,702,-1,255
144,145124,217,5,693,682,16,14,34,18,2,-1,3736,24,0,0,693,-1,255
150,150744,217,5,685,682,16,20,34,18,2,-1,3741,24,0,0,685,-1,255
155,156344,217,5,676,682,16,25,34,18,2,-1,3747,24,0,0,676,-1,255
161,161980,217,5,669,639,15,4,27,18,3,-1,3752,24,0,0,669,-1,255
167,167500,217,5,660,639,15,10,27,18,3,-1,3759,24,0,0,660,-1,255
172,173092,217,5,652,639,15,16,27,18,3,-1,3764,24,0,0,651,-1,255
178,178700,217,5,643,639,15,21,27,18,3,-1,3770,24,0,0,643,-1,255
183,184316,217,5,634,639,15,27,27,18,3,-1,3775,24,0,0,633,-1,255
189,189924,217,5,625,639,15,32,27,18,3,-1,3781,24,0,0,625,-1,255
194,195564,217,5,616,596,14,4,34,18,4,-1,3786,24,0,0,616,-1,255
200,201052,217,5,608,596,14,9,34,18,4,-1,3791,24,0,0,608,-1,255
205,206580,217,5,600,596,14,15,34,18,4,-1,3798,24,0,0,599,-1,255
212,212216,217,5,592,596,14,21,34,18,4,-1,3803,24,0,0,591,-1,255
217,217800,217,5,582,596,14,26,34,18,4,-1,3809,24,0,0,582,-1,255
223,223440,217,5,573,554,13,4,28,18,5,-1,3814,24,0,0,573,-1,255
228,228944,217,5,564,554,13,9,28,18,5,-1,3820,24,0,0,564,-1,255
233,234468,217,5,555,554,13,15,28,18,5,-1,3825,24,0,0,555,-1,255
239,240072,217,5,547,554,13,20,28,18,5,-1,3831,24,0,0,547,-1,255
244,245676,217,5,539,554,13,26,28,18,5,-1,3836,24,0,0,538,-1,255
251,251320,217,5,530,511,12,3,29,18,6,-1,3842,24,0,0,530,-1,255
256,256824,217,5,521,511,12,8,29,18,6,-1,3848,24,0,0,521,-1,255
262,262360,217,5,512,511,12,14,29,18,6,-1,3853,24,0,0,511,-1,255
267,267948,217,5,502,511,12,19,29,18,6,-1,3859,24,0,0,501,-1,255
273,273564,217,5,493,511,12,25,29,18,6,-1,3864,24,0,0,493,-1,255
278,279200,217,5,483,468,11,3,27,18,7,-1,3870,24,0,0,483,-1,255
283,284700,217,5,475,468,11,9,27,18,7,-1,3875,24,0,0,475,-1,255
289,290224,217,5,467,468,11,14,27,18,7,-1,3882,24,0,0,466,-1,255
295,295832,217,5,457,468,11,21,27,18,7,-1,3887,24,0,0,458,-1,255
301,301440,217,5,448,468,11,26,27,18,7,-1,3892,24,0,0,447,-1,255
306,307072,217,5,439,426,10,3,28,18,8,-1,3898,24,0,0,439,-1,255
312,312584,217,5,429,426,10,9,28,18,8,-1,3903,24,0,0,429,-1,255
317,318104,217,5,419,426,10,14,28,18,8,-1,3909,24,0,0,419,-1,255
323,323716,217,5,411,426,10,20,28,18,8,-1,3914,24,0,0,411,-1,255
328,329316,217,5,404,426,10,25,28,18,8,-1,3920,24,0,0,403,-1,255
333,334956,217,5,395,383,9,5,27,18,9,-1,3926,24,0,0,394,-1,255
340,340368,217,5,384,383,9,10,27,18,9,-1,3931,24,0,0,384,-1,255
345,345896,217,5,376,383,9,15,27,18,9,-1,3937,24,0,0,376,-1,255
351,351440,217,5,367,383,9,21,27,18,9,-1,3942,24,0,0,366,-1,255
356,356968,217,5,357,383,9,26,27,18,9,-1,3948,24,0,0,357,-1,255
361,362476,217,5,349,383,9,32,27,18,9,-1,3953,24,0,0,348,-1,255
367,368024,217,5,339,341,8,3,34,18,10,-1,3958,24,0,0,339,-1,255
372,373520,217,5,332,341,8,8,34,18,10,-1,3964,24,0,0,332,-1,255
379,379048,217,5,322,341,8,15,34,18,10,-1,3970,24,0,0,321,-1,255
384,384656,217,5,312,341,8,20,34,18,10,-1,3976,24,0,0,312,-1,255
390,390296,217,5,304,298,7,4,22,18,11,-1,3981,24,0,0,303,-1,255
395,395792,217,5,296,298,7,9,22,18,11,-1,3987,24,0,0,296,-1,255
400,401316,217,5,289,298,7,14,22,18,11,-1,3992,24,0,0,289,-1,255
406,406924,217,5,283,298,7,20,22,18,11,-1,3997,24,0,0,281,-1,255
411,412536,217,5,272,298,7,25,22,18,11,-1,4003,24,0,0,272,-1,255
417,418144,217,5,262,298,7,31,22,18,11,-1,4008,24,0,0,262,-1,255
423,423784,217,5,253,255,6,3,34,18,12,-1,4015,24,0,0,253,-1,255
429,429312,217,5,244,255,6,9,34,18,12,-1,4020,24,0,0,243,-1,255
434,434808,217,5,237,255,6,14,34,18,12,-1,4026,24,0,0,237,-1,255
439,440420,217,5,231,255,6,20,34,18,12,-1,4031,24,0,0,228,-1,255
445,446048,217,5,220,255,6,25,34,18,12,-1,4037,24,0,0,223,-1,255
450,450728,217,5,215,213,5,3,27,18,13,-1,4042,24,0,0,214,0,255
1448,1448264,217,5,172,213,5,1001,27,18,13,-1,5040,24,0,0,172,0,255
0,404,42,0,172,213,5,1004,27,18,13,-1,5042,24,0,0,172,0,255
3,3152,42,0,172,213,5,1007,27,18,13,-1,5046,24,0,0,171,0,255
10,10356,42,0,172,213,5,1014,27,18,13,-1,5052,24,0,0,169,-1,255
15,15876,42,0,172,213,5,1019,27,18,13,-1,5058,24,0,0,172,-1,255
20,21388,42,0,172,213,5,1024,27,18,13,-1,5063,24,0,0,172,-1,255
26,26932,42,0,171,213,5,1030,27,18,13,-1,5068,24,0,0,171,-1,255
31,32456,42,0,169,213,5,1035,27,18,13,-1,5074,24,0,0,169,-1,255
38,38012,42,0,166,170,4,5,1037,18,14,-1,5080,24,0,0,167,-1,255
43,43420,42,0,163,170,4,10,1037,18,14,-1,5086,24,0,0,165,-1,255
48,48940,42,0,160,170,4,15,1037,18,14,-1,5091,24,0,0,160,-1,255
54,54500,42,0,156,170,4,21,1037,18,14,-1,5096,24,0,0,155,-1,255
59,59988,42,0,152,170,4,26,1037,18,14,-1,5102,24,0,0,151,-1,255
64,65524,42,0,146,170,4,31,1037,18,14,-1,5107,24,0,0,146,-1,255
70,71040,42,0,141,170,4,37,1037,18,14,-1,5112,24,0,0,142,-1,255
75,76568,42,0,136,170,4,42,1037,18,14,-1,5119,24,0,0,134,-1,255
82,82108,42,0,130,170,4,49,1037,18,14,-1,5124,24,0,0,130,-1,255
87,87652,42,0,123,127,3,3,51,18,15,-1,5130,24,0,0,124,-1,255
92,92884,42,0,117,127,3,8,51,18,15,-1,5135,24,0,0,117,-1,255
97,98160,42,0,111,127,3,13,51,18,15,-1,5140,24,0,0,111,-1,255
103,103560,42,0,104,127,3,19,51,18,15,-1,5145,24,0,0,103,-1,255
108,109092,42,0,96,127,3,24,51,18,15,-1,5151,24,0,0,96,-1,255
113,114444,42,0,90,127,3,29,51,18,15,-1,5156,24,0,0,88,-1,255
118,119808,42,0,81,127,3,34,51,18,15,-1,5162,24,0,0,82,-1,255
125,125184,42,0,74,85,2,3,38,18,16,-1,5167,24,0,0,74,-1,255
130,130340,42,0,67,85,2,8,38,18,16,-1,5172,24,0,0,67,-1,255
135,135532,42,0,59,85,2,13,38,18,16,-1,5177,24,0,0,60,-1,255
140,140792,42,0,53,85,2,18,38,18,16,-1,5182,24,0,0,52,-1,255
145,146068,42,0,44,85,2,23,38,18,16,-1,5188,24,0,0,45,-1,255
150,151332,42,0,37,85,2,28,38,18,16,-1,5193,24,0,0,36,-1,255
155,156640,42,0,30,42,1,3,30,18,17,-1,5198,24,0,0,31,-1,255
160,161792,42,0,26,42,1,8,30,18,17,-1,5203,24,0,0,25,-1,255
166,166976,42,0,16,42,1,14,30,18,17,-1,5209,24,0,0,17,-1,255
172,172272,42,0,11,42,1,20,30,18,17,-1,5214,24,0,0,9,-1,255
177,177448,42,0,5,42,1,25,30,18,17,-1,5219,24,0,0,4,-1,255
182,182544,42,0,0,42,1,30,30,18,17,-1,5224,24,0,0,0,-1,255
187,187628,42,0,0,42,1,35,30,18,17,-1,5229,24,0,0,0,-1,255
192,192724,42,0,0,42,1,40,30,18,17,-1,5234,24,0,0,1,-1,255
196,196916,42,0,0,0,0,2,42,0,0,-1,5238,24,1,0,0,0,255
1195,1195220,42,0,0,0,0,1001,42,0,0,-1,6237,24,1,0,0,0,255
0,392,898,21,0,0,0,1003,42,0,0,-1,6240,24,1,0,0,0,255
3,2832,898,21,0,0,0,1006,42,0,0,-1,6243,24,1,0,0,0,255
9,8944,898,21,0,0,0,1012,42,0,0,-1,6248,24,1,0,0,1,255
13,13756,898,21,0,0,0,1016,42,0,0,-1,6253,24,1,0,0,1,255
18,18684,898,21,0,0,0,1021,42,0,0,-1,6258,24,1,0,0,1,255
23,23612,898,21,0,0,0,1026,42,0,0,-1,6262,24,1,0,0,1,255
28,28548,898,21,0,0,0,1031,42,0,0,-1,6267,24,1,0,0,1,255
34,33476,898,21,0,0,0,1037,42,0,0,-1,6273,24,1,0,0,1,255
38,38408,898,21,0,0,0,1041,42,0,0,-1,6278,24,1,0,0,1,255
43,43332,898,21,0,0,0,1046,42,0,0,-1,6283,24,1,0,0,1,255
48,48268,898,21,0,0,0,1051,42,0,0,-1,6288,24,1,0,0,1,255
53,53196,898,21,0,0,0,1056,42,0,0,-1,6292,24,1,0,0,1,255
58,58124,898,21,0,0,0,1061,42,0,0,-1,6297,24,1,0,0,1,255
63,63056,898,21,0,0,0,1065,42,0,0,-1,6302,24,1,0,0,1,255
67,67988,898,21,0,0,0,1070,42,0,0,-1,6307,24,1,0,0,1,255
72,72916,898,21,0,0,0,1075,42,0,0,-1,6312,24,1,0,0,1,255
78,77848,898,21,0,0,0,1081,42,0,0,-1,6317,24,1,0,0,1,255
83,82772,898,21,0,0,0,1086,42,0,0,-1,6322,24,1,0,0,1,255
88,87708,898,21,0,0,0,1091,42,0,0,-1,6327,24,1,0,0,1,255
92,92644,898,21,0,0,0,1095,42,0,0,-1,6332,24,1,0,0,1,255
97,97564,898,21,0,0,0,1100,42,0,0,-1,6337,24,1,0,0,1,255
102,102536,898,21,0,0,0,1105,42,0,0,-1,6342,24,1,0,0,1,255
107,107660,898,21,6,0,0,1110,42,0,0,-1,6347,24,1,0,6,1,255
112,112768,898,21,12,0,0,1115,42,0,0,-1,6352,24,1,0,11,1,255
117,118064,898,21,18,85,2,4,1117,2,0,-1,6358,24,0,0,19,1,255
123,123300,898,21,25,85,2,9,1117,2,0,-1,6363,24,0,0,25,1,255
128,128604,898,21,31,127,3,4,11,3,0,-1,6368,24,0,0,30,1,255
134,133764,898,21,41,127,3,9,11,3,0,-1,6373,24,0,0,41,1,255
139,138952,898,21,49,127,3,14,11,3,0,-1,6378,24,0,0,49,1,255
144,144216,898,21,55,127,3,19,11,3,0,-1,6383,24,0,0,55,1,255
149,149488,898,21,64,127,3,24,11,3,0,-1,6388,24,0,0,62,1,255
154,154756,898,21,70,127,3,29,11,3,0,-1,6394,24,0,0,70,1,255
159,160056,898,21,78,170,4,4,31,4,0,-1,6400,24,0,0,79,1,255
165,165204,898,21,86,170,4,9,31,4,0,-1,6405,24,0,0,87,1,255
170,170388,898,21,95,170,4,14,31,4,0,-1,6410,24,0,0,95,1,255
175,175668,898,21,104,170,4,20,31,4,0,-1,6415,24,0,0,104,1,255
181,181108,898,21,113,170,4,25,31,4,0,-1,6420,24,0,0,113,1,255
186,186540,898,21,120,170,4,30,31,4,0,-1,6426,24,0,0,121,1,255
191,192020,898,21,128,213,5,4,32,5,0,-1,6431,24,0,0,128,1,255
197,197360,898,21,136,213,5,9,32,5,0,-1,6436,24,0,0,137,1,255
202,202692,898,21,144,213,5,15,32,5,0,-1,6442,24,0,0,144,1,255
208,208136,898,21,152,213,5,20,32,5,0,-1,6448,24,0,0,152,1,255
213,213580,898,21,159,213,5,26,32,5,0,-1,6453,24,0,0,160,1,255
219,219036,898,21,167,255,6,3,28,6,0,-1,6458,24,0,0,168,1,255
224,224388,898,21,176,255,6,8,28,6,0,-1,6464,24,0,0,176,1,255
229,229728,898,21,183,255,6,13,28,6,0,-1,6469,24,0,0,184,1,255
235,235168,898,21,190,255,6,19,28,6,0,-1,6474,24,0,0,191,1,255
240,240604,898,21,198,255,6,24,28,6,0,-1,6480,24,0,0,198,1,255
245,246044,898,21,207,255,6,30,28,6,0,-1,6486,24,0,0,206,1,255
251,251516,898,21,215,298,7,4,32,7,0,-1,6491,24,0,0,215,1,255
257,256840,898,21,222,298,7,9,32,7,0,-1,6496,24,0,0,222,1,255
262,262192,898,21,229,298,7,14,32,7,0,-1,6502,24,0,0,229,1,255
267,267632,898,21,238,298,7,19,32,7,0,-1,6507,24,0,0,239,1,255
273,273072,898,21,245,298,7,25,32,7,0,-1,6512,24,0,0,245,1,255
278,278512,898,21,253,298,7,30,32,7,0,-1,6518,24,0,0,253,1,255
283,283984,898,21,263,341,8,3,32,8,0,-1,6523,24,0,0,263,1,255
289,289316,898,21,269,341,8,10,32,8,0,-1,6529,24,0,0,270,1,255
295,294752,898,21,280,341,8,15,32,8,0,-1,6534,24,0,0,279,1,255
300,300192,898,21,288,341,8,20,32,8,0,-1,6540,24,0,0,288,1,255
305,305636,898,21,295,341,8,26,32,8,0,-1,6545,24,0,0,295,1,255
311,311088,898,21,303,341,8,31,32,8,0,-1,6550,24,0,0,303,1,255
316,316536,898,21,311,383,9,3,33,9,0,-1,6556,24,0,0,311,1,255
321,321860,898,21,318,383,9,8,33,9,0,-1,6561,24,0,0,318,1,255
326,327228,898,21,325,383,9,14,33,9,0,-1,6566,24,0,0,325,1,255
333,332660,898,21,334,383,9,20,33,9,0,-1,6572,24,0,0,334,1,255
338,338104,898,21,342,383,9,25,33,9,0,-1,6578,24,0,0,343,1,255
343,343572,898,21,351,426,10,4,27,10,0,-1,6583,24,0,0,352,1,255
349,349064,898,21,361,426,10,9,27,10,0,-1,6588,24,0,0,360,1,255
354,354592,898,21,368,426,10,14,27,10,0,-1,6594,24,0,0,369,1,255
360,360208,898,21,377,426,10,20,27,10,0,-1,6599,24,0,0,378,1,255
365,365808,898,21,387,426,10,25,27,10,0,-1,6605,24,0,0,387,1,255
371,371440,898,21,396,426,10,31,27,10,0,-1,6610,24,0,0,397,1,255
377,377056,898,21,406,468,11,3,34,11,0,-1,6617,24,0,0,407,1,255
382,382556,898,21,415,468,11,9,34,11,0,-1,6622,24,0,0,415,1,255
388,388080,898,21,423,468,11,14,34,11,0,-1,6628,24,0,0,424,1,255
393,393692,898,21,433,468,11,20,34,11,0,-1,6633,24,0,0,433,1,255
399,399328,898,21,440,511,12,3,22,12,0,-1,6639,24,0,0,441,1,255
404,404820,898,21,451,511,12,8,22,12,0,-1,6644,24,0,0,451,1,255
410,410376,898,21,461,511,12,14,22,12,0,-1,6649,24,0,0,461,1,255
415,415960,898,21,469,511,12,20,22,12,0,-1,6656,24,0,0,469,1,255
422,421592,898,21,478,511,12,26,22,12,0,-1,6661,24,0,0,478,1,255
427,427184,898,21,488,511,12,31,22,12,0,-1,6667,24,0,0,488,1,255
433,432816,898,21,497,554,13,4,33,13,0,-1,6672,24,0,0,497,1,255
438,438312,898,21,507,554,13,9,33,13,0,-1,6678,24,0,0,507,1,255
443,443840,898,21,517,554,13,15,33,13,0,-1,6683,24,0,0,516,1,255
449,449448,898,21,525,554,13,20,33,13,0,-1,6689,24,0,0,526,1,255
454,455088,898,21,535,596,14,4,22,14,0,-1,6694,24,0,0,536,1,255
461,460592,898,21,545,596,14,10,22,14,0,-1,6700,24,0,0,545,1,255
466,466192,898,21,555,596,14,15,22,14,0,-1,6706,24,0,0,555,1,255
472,471824,898,21,564,596,14,21,22,14,0,-1,6711,24,0,0,564,1,255
477,477416,898,21,573,596,14,26,22,14,0,-1,6717,24,0,0,574,1,255
483,483052,898,21,583,639,15,4,28,15,0,-1,6722,24,0,0,584,1,255
488,488564,898,21,593,639,15,9,28,15,0,-1,6728,24,0,0,593,1,255
